review,sentiment
Loved the soundtrack and visuals.,positive
Amazing movie! Highly recommended.,positive
Poor acting and horrible direction.,negative
The direction and screenplay were top-notch.,positive
Terrible movie. I want my time back.,negative
Awful storyline with no logic.,negative
A masterpiece. Brilliant in every aspect.,positive
The plot was boring and predictable.,negative
Neither great nor terrible.,neutral
Nothing exceptional but watchable.,neutral
I didn't enjoy the movie at all.,negative
Nothing exceptional but watchable.,neutral
Terrible pacing and weak script.,negative
A masterpiece. Brilliant in every aspect.,positive
The plot was boring and predictable.,negative
Decent movie for passing time.,neutral
Terrible pacing and weak script.,negative
Painful to watch. Never again.,negative
It had some good moments and some bad.,neutral
A complete disappointment.,negative
It was just fine overall.,neutral
Poor acting and horrible direction.,negative
Decent movie for passing time.,neutral
Painful to watch. Never again.,negative
Terrible pacing and weak script.,negative
Average film. Nothing special.,neutral
One of the best movies I have watched this year!,positive
Worst film ever made. Complete waste.,negative
Amazing movie! Highly recommended.,positive
Terrible pacing and weak script.,negative
Nothing exceptional but watchable.,neutral
Bad effects and cringe-worthy dialogue.,negative
The direction and screenplay were top-notch.,positive
Painful to watch. Never again.,negative
Bad effects and cringe-worthy dialogue.,negative
It had some good moments and some bad.,neutral
A very heartwarming and inspiring film.,positive
I didn't enjoy the movie at all.,negative
Terrible movie. I want my time back.,negative
I absolutely loved this movie! The acting was phenomenal.,positive
A complete disappointment.,negative
Worst film ever made. Complete waste.,negative
Amazing movie! Highly recommended.,positive
Poor acting and horrible direction.,negative
It was just fine overall.,neutral
Average film. Nothing special.,neutral
Bad effects and cringe-worthy dialogue.,negative
A very heartwarming and inspiring film.,positive
Nothing exceptional but watchable.,neutral
Neither great nor terrible.,neutral
It had some good moments and some bad.,neutral
Painful to watch. Never again.,negative
A masterpiece. Brilliant in every aspect.,positive
The plot was boring and predictable.,negative
Great performances and emotional depth.,positive
Nothing exceptional but watchable.,neutral
It had some good moments and some bad.,neutral
"An okay experience, could be better.",neutral
"An okay experience, could be better.",neutral
Terrible movie. I want my time back.,negative
Nothing exceptional but watchable.,neutral
Nothing exceptional but watchable.,neutral
"The movie was okay, not too bad.",neutral
The plot was boring and predictable.,negative
I didn't enjoy the movie at all.,negative
Fantastic film with a gripping story.,positive
It was just fine overall.,neutral
Loved the soundtrack and visuals.,positive
I absolutely loved this movie! The acting was phenomenal.,positive
Neither great nor terrible.,neutral
A very heartwarming and inspiring film.,positive
The direction and screenplay were top-notch.,positive
Poor acting and horrible direction.,negative
Loved the soundtrack and visuals.,positive
It was just fine overall.,neutral
Average film. Nothing special.,neutral
Painful to watch. Never again.,negative
Worst film ever made. Complete waste.,negative
"Some scenes were interesting, others boring.",neutral
The plot was boring and predictable.,negative
Terrible pacing and weak script.,negative
One of the best movies I have watched this year!,positive
One of the best movies I have watched this year!,positive
Painful to watch. Never again.,negative
Awful storyline with no logic.,negative
Loved the soundtrack and visuals.,positive
I didn't enjoy the movie at all.,negative
It was just fine overall.,neutral
I didn't enjoy the movie at all.,negative
